void,Reff,ratio,dist,y_major,y_inter,y_minor,D,Dc
280,18.196662676833277,1.3116758156377393,265.316460342952,1.4613965952287078e-07,-6.733854820397539e-08,7.695585567912883e-08,6.918380384374195e-08,-1.4429440388310423e-07
283,17.95161232015435,1.394907889334706,302.785984994113,1.424350754112855e-06,-1.474439088466973e-07,-2.6431823042562036e-07,1.6886689845384753e-06,1.1687432157892306e-07
289,18.15485548935164,1.4167312370594518,245.43101528844093,7.699561647877244e-08,-2.958372149159411e-07,-1.0530727698723781e-07,1.8230289346601026e-07,-1.9052993792870326e-07
296,17.82746605939422,1.32571356641737,219.65709008975756,-3.2325769055308523e-07,-5.183705892738715e-07,2.1559542676882804e-08,-3.44817233229968e-07,-5.399301319507543e-07
308,18.50827929777619,1.4072686395273772,180.5495317171961,1.088622963420048e-09,-1.2956924240669103e-07,-8.361726957925748e-08,8.470589254267753e-08,-4.595197282743355e-08
316,17.49622467491723,1.3115182541831532,288.22612570845763,8.39678614569433e-08,-2.3464561809521356e-07,-2.0949999786012427e-07,2.934678593170676e-07,-2.5145620235089286e-08
319,17.909338999093187,1.4383737403662171,234.16635639274813,2.8035959647919043e-10,1.7092747326216096e-07,2.5999369457074525e-08,-2.5719009860595334e-08,1.4492810380508644e-07
325,17.84778142339743,1.359867801542873,309.0553832757127,2.641522073593034e-07,-3.217452980235771e-07,6.041750730871425e-08,2.0373470005058914e-07,-3.8216280533229133e-07
326,18.625505222620333,1.3075976386294137,164.6047791554174,-1.2577261383206484e-07,-6.0488906322743094e-09,1.4665495201355086e-07,-2.724275658456157e-07,-1.5270384264582517e-07
331,17.574261244873686,1.4026263708967064,276.866217340175,3.1796838296176556e-08,1.4311230892158275e-07,2.8234896370256447e-07,-2.5055212540638794e-07,-1.3923665478098172e-07
333,17.952097496363287,1.3365195124083202,280.69989013308674,-4.529849813473343e-07,-1.1810818454644321e-07,-9.200833790682182e-09,-4.4378414755665214e-07,-1.0890735075576103e-07
338,17.130355219763484,1.3048557415106987,255.56559020240954,-1.1663956732594514e-07,7.943877832160915e-07,3.9713099907045655e-07,-5.137705663964017e-07,3.972567841456349e-07
341,17.22444638863494,1.364821158349279,187.54822667136108,-1.9046805111510242e-07,-1.592774265142788e-07,3.4514958485178524e-07,-5.356176359668876e-07,-5.044270113660641e-07
345,17.78188982243962,1.310241992001009,278.8397527845852,-8.19506938099281e-08,-3.381687215812817e-07,-4.030471348669519e-08,-4.164598032323291e-08,-2.978640080945865e-07
347,18.350868218900985,1.3223801620620097,215.9235656026307,-2.158534043596249e-07,-2.419222662898679e-07,-3.9409710721286934e-07,1.7824370285324445e-07,1.5217484092300143e-07
349,17.492262480506284,1.395297968322411,292.9362608106549,-3.0176100573447446e-07,-3.561716892058506e-07,-3.5662930443936213e-07,5.486829870488767e-08,4.5761523351154793e-10
353,17.110863714717674,1.3646453269984962,304.9327789767713,-5.73752705731819e-07,-3.9499657575190796e-07,-7.01183719241309e-08,-5.036343338076881e-07,-3.2487820382777706e-07
360,17.631141154582238,1.3611315013065304,226.41896954613023,-8.758857261310758e-08,-3.0359522408000536e-07,9.638870495862856e-09,-9.722744310897044e-08,-3.132340945758682e-07
362,17.482007391497834,1.3406915040383651,176.26590895838854,5.9016935529805563e-08,-4.2748444317958794e-08,-2.6560277023218675e-08,8.557721255302424e-08,-1.618816729474012e-08
367,17.795334257528634,1.3914345895241855,234.32329044272203,-1.884852937621625e-07,-4.0843719655274314e-08,1.5688932166026885e-07,-3.4537461542243136e-07,-1.9773304131554315e-07
373,17.340027471451776,1.3577408673856297,269.80142070062465,-6.506253703727809e-08,1.6988007944576772e-07,-2.3479856524509115e-08,-4.158268051276897e-08,1.9335993597027683e-07
378,16.43420300079733,1.398434230622998,253.97637963772817,-1.0469744192672805e-07,-2.4058490296157e-07,8.563071685311018e-08,-1.9032815877983822e-07,-3.2621561981468016e-07
391,17.383015643416186,1.3297589531916834,262.12974372127917,-1.1940489898978118e-06,-3.2978791032653727e-07,-6.800937572096552e-07,-5.139552326881566e-07,3.5030584688311796e-07
392,16.9566738194482,1.45250672901028,256.27849857229774,-2.0867784787968671e-07,-3.64676645257628e-07,2.1040553747432463e-08,-2.2971840162711918e-07,-3.857171990050605e-07
