Name,Type,Rad,g_obs,g_bar,locked,Vobs
UGC 08709,SABc,3.9694545454545453,1.6703656212844592e-10,6.877042048395747e-11,0.35016041752355226,143.03636363636363
UGC 08709,SABc,5.125,1.8221123468106336e-10,6.206714788610349e-11,0.2790224750867261,169.75
UGC 08709,SABc,6.243999999999999,1.6555773245279435e-10,5.671566857368827e-11,0.23354753221684185,178.6
UGC 08709,SABc,7.382857142857143,1.6472074158435912e-10,5.185587041874445e-11,0.20162335263339168,193.71428571428572
UGC 08709,SABc,8.59375,1.5578579244834563e-10,4.712907445023237e-11,0.1777303255575713,203.25
UGC 08709,SABc,9.827142857142857,1.4365691545042001e-10,4.27043873756451e-11,0.16034923879569649,208.71428571428572
UGC 08709,SABc,10.850000000000001,1.351944471310425e-10,3.931259504358618e-11,0.14959426359998518,212.75
UGC 08709,SABc,11.894285714285715,1.1901553699201719e-10,3.609964239346647e-11,0.1410883128579792,209.0
UGC 08709,SABc,13.006,1.1114592199642721e-10,3.294727931325033e-11,0.13410066888973415,211.2
UGC 08709,SABc,14.143333333333333,9.535819295982798e-11,2.9996381475018546e-11,0.12863326143032422,204.0
UGC 08709,SABc,15.455,7.89194237059386e-11,2.691839468556842e-11,0.1239379052350769,194.0
UGC 08709,SABc,16.38,7.446274074330167e-11,2.4944324802010742e-11,0.12144177652844745,194.0
UGC 08709,SABc,17.57,5.299282821887249e-11,2.262686330997833e-11,0.11901935389795723,169.5
UGC 08709,SABc,18.645,5.5381346159881316e-11,2.07326678592874e-11,0.11745563488240371,178.5
UGC 08709,SABc,19.705,5.6288084842036743e-11,1.903513890770794e-11,0.11638878776425186,185.0
UGC 08709,SABc,21.023333333333333,5.3521587291626485e-11,1.7138809528856134e-11,0.11560118018510789,186.33333333333334
UGC 08709,SABc,22.86,4.957428301512686e-11,1.484946266975006e-11,0.11529206245865854,187.0
UGC 08709,SABc,22.9,4.8434790908835547e-11,1.4803758284475065e-11,0.11529385312788322,185.0
UGC 08852,SAB(r)b,0.76,1.43447125390669e-10,5.167013809284792e-10,0.7042479645743411,58.0
UGC 08852,SAB(r)b,1.1390000000000002,3.569125145460062e-10,3.6087643760815133e-10,0.5224935705313463,112.0
UGC 08852,SAB(r)b,1.438125,3.793739896497278e-10,2.98840216396896e-10,0.4012645977056363,129.75
UGC 08852,SAB(r)b,1.8310810810810811,3.3996520057634847e-10,2.544415124825643e-10,0.2910595622009382,138.59459459459458
UGC 08852,SAB(r)b,2.12,3.11048192975357e-10,2.3327441447688636e-10,0.23683951670695136,142.6451612903226
UGC 08852,SAB(r)b,2.3994186046511627,3.2454280630718115e-10,2.1705364242885865e-10,0.19870741462720837,155.01162790697674
UGC 08852,SAB(r)b,2.776666666666667,3.113689905544586e-10,1.9872533093029222e-10,0.1620662100179228,163.33333333333334
UGC 08852,SAB(r)b,3.17,2.7496529895550677e-10,1.8214657438515467e-10,0.13566057890261846,164.0
UGC 08852,SAB(r)b,3.51,2.637034110707137e-10,1.6917634716979097e-10,0.11913498703914803,169.0
UGC 08852,SAB(r)b,3.76,2.535069432339363e-10,1.6026723384880837e-10,0.10959046438804179,171.5
UGC 08852,SAB(r)b,4.125,2.230618564381255e-10,1.480834227976419e-10,0.09854596540848952,168.5
UGC 08852,SAB(r)b,4.41,2.3022760625624152e-10,1.3919028047890042e-10,0.0917290951388941,177.0
UGC 08852,SAB(r)b,4.72,2.1268300692760308e-10,1.3009326783122208e-10,0.0856750522861165,176.0
UGC 08852,SAB(r)b,5.21,2.1985048600023348e-10,1.168670625214233e-10,0.07827545912492719,188.0
UGC 08852,SAB(r)b,5.49,1.849369296156694e-10,1.0990953695316008e-10,0.07495716133572673,177.0
UGC 08852,SAB(r)b,6.339999999999999,1.7118368710442011e-10,9.124831753115647e-11,0.06770017901366217,183.0
UGC 08852,SAB(r)b,6.570000000000001,1.670012536125242e-10,8.678823804751828e-11,0.06628291317868741,184.0
UGC 08900,SAb pec,1.5299999999999998,3.66276899790159e-10,2.9985960330404155e-10,0.8066963024778342,131.5
UGC 08900,SAb pec,2.39,1.4525538888431129e-10,2.0803446462466932e-10,0.662183362841846,103.5
UGC 08900,SAb pec,3.356923076923077,2.2191906253233336e-10,1.6438132031439059e-10,0.525326038422284,151.6153846153846
UGC 08900,SAb pec,4.07,2.466495805155495e-10,1.463729706252159e-10,0.4460332025995632,176.0
UGC 08900,SAb pec,5.0,2.5410302252675376e-10,1.3064071198110432e-10,0.36630939749944363,198.0
UGC 08900,SAb pec,5.64,2.606931127354635e-10,1.2254020681268065e-10,0.3237859616606125,213.0
UGC 08900,SAb pec,6.03,2.8184030964801316e-10,1.182716057204144e-10,0.3017924787183676,229.0
UGC 08900,SAb pec,7.42,2.6646456020176716e-10,1.055822769134047e-10,0.24156796406326658,247.0
UGC 08900,SAb pec,8.02,2.62757697376708e-10,1.0090157578075455e-10,0.22218567633825334,255.0
UGC 08900,SAb pec,8.89,3.023658013314661e-10,9.466618657485549e-11,0.1991441139313848,288.0
UGC 08900,SAb pec,9.73,2.537200443501685e-10,8.912309515465857e-11,0.1813140555243457,276.0
UGC 08900,SAb pec,10.52,3.09565275681535e-10,8.425356395873158e-11,0.16758870277616772,317.0
UGC 08900,SAb pec,11.05,2.965796967111058e-10,8.114851456036395e-11,0.15971045237392476,318.0
UGC 08900,SAb pec,12.42,3.2147121516814427e-10,7.36530292522762e-11,0.1431958399100806,351.0
UGC 08900,SAb pec,12.540000000000001,3.0760267537967743e-10,7.3030346234696e-11,0.1419693332146762,345.0
UGC 08937,SBb,0.3845454545454546,5.942641290640034e-09,3.549670522904429e-09,0.9726738095877961,265.54545454545456
UGC 08937,SBb,1.0741176470588234,2.398161206311132e-09,1.0060237656369352e-09,0.8355076922448483,281.9294117647059
UGC 08937,SBb,1.8,1.5668267647994213e-09,4.956049341342727e-10,0.6075721523077656,295.0
UGC 08937,SBb,2.46,1.058815948154654e-09,3.641520781318563e-10,0.442717105357091,283.5
UGC 08937,SBb,3.2474999999999996,7.61561303289801e-10,2.936014201997179e-10,0.31508145165204804,276.25
UGC 08937,SBb,4.08,6.041959577213991e-10,2.501553011191445e-10,0.23428758320290352,275.8
UGC 08937,SBb,4.766666666666667,5.362063856685709e-10,2.2361933303405564e-10,0.19201731644833775,280.8333333333333
UGC 08937,SBb,5.445,4.971039982253127e-10,2.016375234580659e-10,0.16319700574459045,289.0
UGC 08937,SBb,6.14875,4.664837926186385e-10,1.817346033780682e-10,0.141993351662636,297.5
UGC 08937,SBb,6.858333333333333,4.2954186512353925e-10,1.6391614748891825e-10,0.12653783293786572,301.5
UGC 08937,SBb,7.5874999999999995,3.72962975616612e-10,1.4754404069331282e-10,0.11485772978324431,295.5
UGC 08937,SBb,8.233333333333334,3.078613492854206e-10,1.3447496954146407e-10,0.10702530090096367,279.6666666666667
UGC 08937,SBb,8.88,2.957397632958467e-10,1.2259978573015886e-10,0.10091684544685922,284.6666666666667
UGC 08937,SBb,9.576666666666668,2.6784125257287857e-10,1.1103904765526558e-10,0.0958020579370557,281.3333333333333
UGC 08937,SBb,10.393333333333334,2.652578194869406e-10,9.89599750891926e-11,0.09126621075909519,291.6666666666667
UGC 08937,SBb,11.19,2.6326553097756396e-10,8.855223676614287e-11,0.0879872208781994,301.5
UGC 08937,SBb,11.920000000000002,2.604320959150151e-10,8.008163150009449e-11,0.08574205456924093,309.5
UGC 08937,SBb,13.176750000000002,2.383796304058451e-10,6.758194335047549e-11,0.08314421183480664,311.325
UGC 08937,SBb,14.46,2.8244758641232785e-10,5.7121364693744416e-11,0.08168534518007,355.0
UGC 09248,Sb,1.06,1.5412045658574568e-10,1.7259835054176067e-10,0.6469253628766765,71.0
UGC 09248,Sb,1.56,3.194245022724138e-10,1.4158331878313514e-10,0.5037386519190747,124.0
UGC 09248,Sb,2.19,2.4625483176093e-10,1.202760106162711e-10,0.36760946634165487,129.0
UGC 09248,Sb,3.0400000000000005,2.398603092516388e-10,1.0371012729343028e-10,0.24963678413105844,150.0
UGC 09248,Sb,4.0,2.0225703545422282e-10,9.107083488280261e-11,0.1734574072524737,158.0
UGC 09248,Sb,4.41,1.83453093382515e-10,8.651648295878064e-11,0.1519878293873372,158.0
UGC 09248,Sb,5.36,1.396920983270944e-10,7.699962234350789e-11,0.11731831775629473,152.0
UGC 09248,Sb,6.02,1.2274586142628068e-10,7.100357934823256e-11,0.10134255781445752,151.0
UGC 09248,Sb,6.68,1.3856272048775525e-10,6.542175586280128e-11,0.08956406614998332,169.0
UGC 09248,Sb,7.099999999999999,1.288278234722222e-10,6.207091426962504e-11,0.08364669277899686,168.0
UGC 09248,Sb,7.52,1.2454590620338053e-10,5.887120742635319e-11,0.07867218088361236,170.0
