ID,GLON,GLAT,Dist,Rgc,Z,Mass,Mline,nH2,NH2,Tmin,Tmax,fA,fL,Lsumw,DGMF,Vgrad,Morph,feed_proxy,smoothing_proxy,density_proxy,ambient_resistance_proxy,choke_F1,choke_F2
35.0,23.4,-0.21,5.9,3.8,-7.8,322.9,4156.3,4.9,5.5,12.0,44.1,5.63,1.63,16.6,0.45,0.47,X  ,0.45,6.640783086353597,4.9,0.3205508728058145,0.06776309271789384,6.8787833291465095
36.0,23.28,-0.27,4.6,4.5,-6.0,22.4,1336.4,7.4,3.9,11.9,26.2,9.1,4.29,7.8,0.25,0.9,C  ,0.25,5.118593556827891,7.4,0.26561316762317017,0.04884154157278522,6.965016141912911
37.0,23.22,0.03,5.9,3.8,16.3,29.2,1603.6,6.6,4.0,13.0,25.6,3.68,1.97,7.3,0.33,0.77,C  ,0.33,5.059644256269407,6.6,0.30289140035732376,0.06522197674097283,7.190696062782217
38.0,23.97,0.15,4.8,4.4,28.4,38.4,2079.4,3.2,3.2,13.5,38.7,8.11,2.13,4.5,0.38,0.62,"L,H",0.38,6.220932405998316,3.2,0.23539832717816167,0.0610840908082522,5.165712155123636
39.0,24.04,0.18,7.8,3.4,34.0,101.1,2226.4,3.0,3.2,10.9,27.8,6.75,2.8,10.4,0.27,0.97,"L,X",0.27,5.272570530585627,3.0,0.30176846190412093,0.05120841882223451,2.6841771167503796
40.0,23.92,0.51,5.8,3.8,65.0,82.4,979.2,2.9,2.1,10.3,24.0,15.88,10.22,28.3,0.27,0.2,L  ,0.27,4.898979485566356,2.9,0.21892028320796783,0.05511351921262152,3.5766443772419803
42.0,24.48,-0.52,11.3,5.1,-99.0,76.8,1382.1,2.5,2.3,10.9,17.6,4.3,2.31,14.7,0.19,0.08,X  ,0.19,4.1952353926806065,2.5,0.12037506641343251,0.04528947298916563,3.9459998997516257
43.0,25.77,0.24,8.7,3.8,45.0,79.3,1794.8,1.2,1.8,19.8,31.2,7.54,3.22,7.1,0.43,0.22,C  ,0.43,5.585696017507576,1.2,0.2501450609204698,0.07698234895923904,2.0628030715507717
44.0,25.72,-0.16,10.2,4.5,-21.9,162.8,2176.6,3.0,3.2,10.3,30.0,8.49,4.47,17.3,0.29,0.22,S  ,0.29,5.477225575051661,3.0,0.23889902981380126,0.05294651389216606,3.641705873305894
45.0,25.36,-0.38,2.7,6.0,1.9,6.8,451.8,8.1,2.3,16.4,22.3,4.16,2.26,12.5,0.26,0.94,"L,X",0.26,4.722287581247038,8.1,0.17782552945875302,0.055058061485391475,11.843068913726984
47.0,28.24,0.04,6.1,4.2,17.9,61.3,3404.2,6.2,5.7,15.5,29.9,3.09,2.03,4.8,0.41,0.64,"S,H",0.41,5.468089245796926,6.2,0.26731345154375546,0.07498048798584414,9.509435403717086
48.0,28.66,0.03,7.4,4.0,15.9,67.9,2244.3,2.5,2.9,18.3,27.0,12.38,3.7,6.2,0.27,0.76,C  ,0.27,5.196152422706632,2.5,0.2868324180902166,0.05196152422706632,2.3532904840194675
49.0,28.79,0.2,7.4,4.0,36.9,41.3,1905.2,2.3,2.6,18.5,26.5,4.46,2.82,4.7,0.43,0.72,"S,H",0.43,5.1478150704935,2.3,0.24936012484608322,0.08353058416272471,3.9661513668653203
50.0,28.57,-0.28,4.7,4.8,-6.5,40.6,2352.5,4.9,4.2,10.3,29.7,11.08,4.49,4.9,0.42,0.43,"L,C",0.42,5.449770637375485,4.9,0.24298345976670915,0.07706746355884524,8.469712308713962
51.0,26.55,-0.29,7.6,3.7,-27.3,25.3,889.1,3.1,2.0,16.7,26.8,4.35,1.79,10.4,0.4,0.31,C  ,0.4,5.176871642217914,3.1,0.28963236788921276,0.07726674092862558,4.2812894464693
52.0,30.03,0.1,5.2,4.7,24.6,23.3,925.3,7.4,3.2,12.9,31.9,3.49,1.65,14.1,0.22,0.53,X  ,0.22,5.648008498577175,7.4,0.22160535863020228,0.03895178274880811,7.3463927499906685
53.0,30.6,-0.11,5.2,4.7,5.8,33.8,2206.7,7.6,5.0,15.0,23.6,7.27,5.24,5.6,0.32,0.64,S  ,0.32,4.857983120596447,7.6,0.25119548719844476,0.06587095756740946,9.68170259395909
54.0,30.34,-0.22,5.2,4.7,-4.1,96.5,1102.1,3.8,2.5,12.0,30.0,2.87,1.96,31.9,0.28,0.33,X  ,0.28,5.477225575051661,3.8,0.25405856283652856,0.05112077203381551,4.188010780351537
55.0,30.86,0.1,2.7,6.2,25.1,13.7,1043.6,5.8,3.0,17.1,31.3,6.02,1.96,6.1,0.24,0.52,C  ,0.24,5.594640292279746,5.8,0.14388197913952924,0.04289820032418974,9.674595862002363
56.0,32.03,0.07,5.2,4.8,21.9,30.9,1859.0,2.4,2.6,10.4,27.2,11.45,5.8,3.8,0.45,0.86,S  ,0.45,5.215361924162119,2.4,0.21927501265570268,0.08628356124532918,4.925321799870445
57.0,33.22,0.01,6.5,4.6,14.6,42.0,1314.1,2.2,2.1,18.8,27.8,4.56,1.68,8.2,0.31,0.18,S  ,0.31,5.272570530585627,2.2,0.24374832336776756,0.058794851240343324,2.7979679637467627
