ID,Len,Ng_5,Ng1,L0_5,L1_0,xlen,ylen,zlen,feed_proxy,density_proxy,ambient_resistance_proxy,smoothing_proxy,choke_F1,choke_F2,concentration_Ng,concentration_L,thickness_proxy
113,15.527,11,19,5.526,11.283,4.26,2.639,14.466,0.7084433567334322,0.3558961808462678,0.51529593611129,15.527,0.04562654451815754,0.4892960866527867,0.5789473684210527,0.4897633608082957,0.16996200167450248
114,30.238,22,25,23.648,25.905,19.043,10.048,14.627,0.7275613466499107,0.7820623057080495,0.09924598187710827,30.238,0.024061159688137795,5.733212504357577,0.88,0.9128739625554911,0.3322971095971956
115,34.284,33,47,36.195,50.282,27.936,7.147,16.486,0.9625481274063703,1.0557402870143509,0.4083829191459573,34.284,0.028075724168894246,2.488352937038324,0.7021276595744681,0.7198401018257031,0.20846458989616148
116,25.724,24,25,17.449,17.694,10.255,15.515,14.264,0.9329808738920852,0.6783159695226249,0.03891307728191572,25.724,0.036268887960351624,16.263319948594404,0.96,0.9861534983610265,0.3986549525734723
117,11.035,7,16,8.967,21.978,8.129,0.741,7.239,0.6343452650657,0.8125962845491618,0.815677390122338,11.035,0.0574848450444676,0.6319491158586971,0.4375,0.407998907998908,0.06714997734481196
118,14.079,6,11,1.791,2.682,8.323,8.847,6.516,0.4261666311527807,0.12721073939910504,0.3552098870658428,14.079,0.030269666251351707,0.15262236280636476,0.5454545454545454,0.6677852348993288,0.46281696143191986
119,30.727,18,19,27.444,29.445,10.647,27.749,2.724,0.5858040160119764,0.8931558564129267,0.03257721222377713,30.727,0.019064796954208884,16.06074467076192,0.9473684210526315,0.9320427916454406,0.08865167442314577
120,29.724,15,21,15.87,20.769,6.784,27.069,1.966,0.5046427129592249,0.5339119903108599,0.20189072803122057,29.724,0.01697761784952311,1.3345575495188968,0.7142857142857143,0.7641196013289037,0.06614183824518907
121,32.149,19,25,18.776,21.622,22.464,17.755,2.919,0.5909981647951724,0.584030607483903,0.18666210457557,32.149,0.018383096357434833,1.8491220700206894,0.76,0.8683748034409398,0.09079598121247939
122,12.158,17,19,5.824,6.361,9.103,5.746,4.348,1.3982562921533148,0.4790261556177003,0.1645829906234578,12.158,0.11500709756154917,4.069687479010947,0.8947368421052632,0.9155793114290206,0.3576246093107419
123,20.292,13,16,6.737,9.161,9.185,5.25,15.932,0.6406465602207766,0.3320027597082594,0.14789079440173467,20.292,0.03157138577867024,1.4381992256605705,0.8125,0.7354000654950333,0.258722649319929
124,5.64,3,3,1.646,1.646,2.297,4.899,1.018,0.5319148936170213,0.2918439716312057,0.0001773049645390071,5.64,0.0943111513505357,875.531914893617,1.0,1.0,0.18049645390070923
125,27.178,15,28,9.155,23.604,22.77,7.588,6.681,0.5519169916844506,0.33685333725807637,0.4783648539259695,27.178,0.020307491047334262,0.3886470316799589,0.5357142857142857,0.3878579901711574,0.2458238280962543
126,9.114,9,11,0.573,0.813,4.879,6.596,3.384,0.9874917709019091,0.06287030941408821,0.21955233706385777,9.114,0.10834888862210983,0.28277500486096646,0.8181818181818182,0.7047970479704797,0.3712969058591178
127,33.268,19,23,27.223,32.816,26.713,14.032,8.505,0.5711193940122641,0.818293855957677,0.12026572081279308,33.268,0.017167229590365037,3.885924334715287,0.8260869565217391,0.8295648464163822,0.255651076109174
128,16.093,9,13,5.101,9.437,2.748,12.722,9.072,0.5592493630771143,0.31697011122848445,0.24861741129683715,16.093,0.03475109445579533,0.7130044991393052,0.6923076923076923,0.5405319487125146,0.1707574721928789
129,15.648,7,13,6.553,11.304,5.337,1.246,12.952,0.44734151329243355,0.41877556237218816,0.38349948875255624,15.648,0.028587775644966357,0.48849007442181586,0.5384615384615384,0.5797062986553432,0.07962678936605318
